一级类目,店铺ID,平台,直播场次ID,商品ID,订单编号,下单时间,订单状态,订单金额,支付状态,支付金额,退款金额,买家匿名ID
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-A,O-LIVE-1001,2026/6/18 20:05,已支付,599,已支付,599,0,U-0001
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-B,O-LIVE-1002,2026/6/18 20:11,已支付,399,已支付,399,199,U-0002
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-C,O-LIVE-1003,2026/6/18 20:23,已支付,699,已支付,699,0,U-0003
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-D,O-LIVE-1004,2026/6/18 20:36,待支付,299,待支付,0,0,U-0004
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-A,O-LIVE-1005,2026/6/18 20:49,已支付,429,已支付,429,0,U-0005
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-E,O-LIVE-1006,2026/6/18 21:02,已支付,501,已支付,501,299,U-0006
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-F,O-LIVE-1007,2026/6/18 21:17,已取消,449,已取消,0,0,U-0007
食品饮料,KS-SEED-001,快手,LIVE-20260618-A,SKU-G,O-LIVE-1008,2026/6/18 21:25,已支付,300,已支付,300,0,U-0008
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-A,O-LIVE-1001,2026/6/19 20:05,已支付,599,已支付,100,0,U-0001
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-B,O-LIVE-1002,2026/6/19 20:11,已支付,399,已支付,100,199,U-0002
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-C,O-LIVE-1003,2026/6/19 20:23,已支付,699,已支付,100,0,U-0003
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-D,O-LIVE-1004,2026/6/19 20:36,待支付,299,待支付,0,0,U-0004
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-A,O-LIVE-1005,2026/6/19 20:49,已支付,429,已支付,429,0,U-0005
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-E,O-LIVE-1006,2026/6/19 21:02,已支付,501,已支付,501,299,U-0006
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-F,O-LIVE-1007,2026/6/19 21:17,已取消,449,已取消,0,0,U-0007
食品饮料,KS-SEED-001,快手,LIVE-20260619-A,SKU-G,O-LIVE-1008,2026/6/19 21:25,已支付,300,已支付,300,0,U-0008
